4) Specifica il codice ISTAT del tuo comune,6) Il tuo territorio ha problemi di connettività a internet? ,"7) Il tuo sindaco o un assessore, ti ha incontrato come Digital Champion?","8) Il comune durante il 2014-15, ha organizzato o finanzia iniziative per aumentare la cultura digitale?",10) C'è e come ci si registra al wi fi pubblico nel comune di cui sei DC?,"11) Il wi fi pubblico, per quanto tempo è accessibile al giorno?",12) Hai verificato la qualità del sito web del tuo comune?   ,13) Quali servizi on line ci sono?,14) Il tuo comune è presente su facebook? E come viene gestito?,15) Il tuo comune è presente su twitter e come viene gestito? *,18) Il tuo comune rilascia dati in formato aperto e riusabile (open data) *,C'è una comunità che organizza Coderdojo? Quanto è attiva?,20) Ci sono iniziative di alfabetizzazione digitale?  *,22) Puoi segnalare quante startup innovative ci sono nella provincia del tuo comune?,23) Puoi segnalare quanti incubatori registrati ci sono nel tuo comune?,"25) Ci sono altri spazi adibiti alla promozione del digitale come coworking, fablab e altro?  *",29) Quale priorità segnali per il tuo comune?  *,Comune,Provincia,Regione,Grandezza_comune,Abitanti,,,,,,,,,,,,,,,,,,,,,,,,,,Scegli un tema che vorresti approfondire come digital champion
108033,la connettività non supera i 100 Megabit,si,"no, non hai mai organizzato nulla",Tramite autenticazione mail/telefono: procedura in fase di ristrutturazione,c.s.,fino a 10 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, Pagamento multe",Presenza esistente ma inadeguata,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,Gruppo provinciale,Non c'è stata nessuna iniziativa,0,0,si,"aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende",Monza,MB,LOM,GRANDE,122712,,,,,,,,,,,,,,,,,,,,,,,,,,
108028,Non abbiamo problemi di connettività,no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,3,0,no,"avviare coderdojo, aumentare formazione di tecnologie open source",Lissone,MB,LOM,GRANDE,42474,,,,,,,,,,,,,,,,,,,,,,,,,,
108015,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Carate Brianza,MB,LOM,MEDIO,17997,,,,,,,,,,,,,,,,,,,,,,,,,,
108012,la connettività non supera i 100 Megabit,no,"no, non hai mai organizzato nulla",il wi fi pubblico c'è e non è necessaria nessuna iscrizione,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, Sportello Unico online",è presente ma non risponde a commenti e domande,è presente ma non risponde ai commenti,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,http://www.startupinnovative.it/startup.aspx?id=2438,no,no,"supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione",Brugherio,MB,LOM,GRANDE,33484,,,,,,,,,,,,,,,,,,,,,,,,,,
108008,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, iscrizione servizi scolastici ",non è presente su facebook,è presente ma non risponde ai commenti,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale",Besana in Brianza,MB,LOM,MEDIO,15582,,,,,,,,,,,,,,,,,,,,,,,,,,
108004,la connettività non supera i 100 Megabit,abbiamo un appuntamento a settembre,"si, ha organizzato 1 evento",è presente presso la Biblioteca Comunale,negli orari della Biblioteca Comunale http://www.comune.arcore.mb.it/pubblicazioni/uffici_sedi/uffici_Dettaglio.asp?Id=123&ID_M=63,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, URP online, Organigramma e relativi stipendi",è presente con due Sportelli (Cultura e Lavoro),non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,Ci sono due persone tra i Mentors di http://coderdojomilano.it,Non c'è stata nessuna iniziativa,1 www.start-technologies.it,Non ce ne sono,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Arcore,MB,LOM,MEDIO,17750,,,,,,,,,,,,,,,,,,,,,,,,,,
107009,la connettività non supera i 20 Megabit,no,"si, ha organizzato 1 evento",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,fino a 10 indicatori soddisfatti,"Piattaforma per consultazioni online, Servizi informativi meteo e dati ambientali, URP online",è presente e risponde a commenti e domande,è presente e risponde,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,0,no,"aumentare la connettività, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, avviare coderdojo, aumentare formazione di tecnologie open source",Iglesias,CI,SAR,MEDIO,27493,,,,,,,,,,,,,,,,,,,,,,,,,,
106016,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"URP online, Sportello Unico online","presente, ma viene usato come tribuna elettorale",non è presente su  twitter,esiste una sezione o portale open data con dataset di vari uffici,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale",Sardara,VS,SAR,PICCOLO,4217,,,,,,,,,,,,,,,,,,,,,,,,,,
106015,la connettività non supera i 20 Megabit,si,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi per situazioni di emergenza",è presente e risponde a commenti e domande,è presente e risponde,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,2,0,no,"aumentare la connettività, aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Sanluri,VS,SAR,MEDIO,8530,,,,,,,,,,,,,,,,,,,,,,,,,,
105011,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza",è presente ma non risponde a commenti e domande,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,nessuna,nessuno,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Loceri,OG,SAR,PICCOLO,1267,,,,,,,,,,,,,,,,,,,,,,,,,,
104024,la connettività non supera i 20 Megabit,io sono un Assessore Comunale,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, URP online",è presente e risponde a commenti e domande,non è presente su  twitter,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Ci sono iniziative per l’alfabetizzazione verso anziani,nessuna,nessuno,no,"aumentare il wi fi pubblico, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, avviare coderdojo, aumentare formazione di tecnologie open source",Telti,OT,SAR,PICCOLO,2217,,,,,,,,,,,,,,,,,,,,,,,,,,
104023,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",tramite mail,non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi per situazioni di emergenza, URP online, Sportello Unico online",è presente ma non risponde a commenti e domande,è presente ma non risponde ai commenti,esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Non c'è stata nessuna iniziativa,No,No,si,"aumentare la connettività, aumentare il wi fi pubblico",San Teodoro,OT,SAR,PICCOLO,4342,,,,,,,,,,,,,,,,,,,,,,,,,,
103072,"non raggiunge i 20 MB e inoltre è un territorio dove c'è montagna  e anche realtà imprenditoriali, avrebbe bisogno di una agenda bene dettagliata. per ora la banda è solo lungo la costa del lago",un consigliere di maggioranza con preparazione sul tema,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali, Servizi informativi traffico e mobilità, Servizi informativi per situazioni di emergenza, Pagamento online tasse e tariffe comunali, URP online, Sportello Unico online","è presente ma non risponde a commenti e domande, è presente ma lo usa praticamente solo per gli eventi senza alcun engagment e tanto meno rapporti con gli utenti ","è presente ma non risponde ai commenti,  come FB, ho più follower io",esiste una sezione open data ma ristretta solo agli adempimenti di legge sulla trasparenza,non c'è nel mio comune,Saltuariamente vengono organizzati incontri ma nulla di continuativo,1,0,no,"aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura, e un lavoro approfondito sul social media marketing",Verbania,VB,PIE,GRANDE,31243,,,,,,,,,,,,,,,,,,,,,,,,,,
103064,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,sportelli per presentare pratiche edilizie etc,è presente e risponde a commenti e domande,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,0,no,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source",Stresa,VB,PIE,MEDIO,5226,,,,,,,,,,,,,,,,,,,,,,,,,,
103048,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),massimo 1h,oltre 60 indicatori soddisfatti,Servizi informativi per bandi e concorsi pubblici,non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,nessuno,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source",Nonio,VB,PIE,PICCOLO,898,,,,,,,,,,,,,,,,,,,,,,,,,,
103008,la connettività non supera i 20 Megabit,no,"si, ha organizzato 1 evento",tramite servizi collegati al telefono mobile (es. sms o telefonata),tra 1h e 2h,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Ci sono iniziative per l’alfabetizzazione verso anziani,1,0,no,"aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source",Baveno,VB,PIE,PICCOLO,4966,,,,,,,,,,,,,,,,,,,,,,,,,,
102047,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",tramite servizi collegati al telefono mobile (es. sms o telefonata),non c'è nessun limite,oltre 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online, Servizi informativi per situazioni di emergenza, URP online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,0,no,"supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare le politiche a supporto delle startup",Vibo Valentia,VV,CAL,GRANDE,33853,,,,,,,,,,,,,,,,,,,,,,,,,,
102044,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla","il wi-fi è attivo da quest'estate, ma presenta grossi problemi di connettività",non è tuttavia possibile fare un test temporale,oltre 60 indicatori soddisfatti,Diritto sulle pubbliche affissioni Elenco Siti tematici Note legali Pubblicità legale Ravvedimento operoso ICI Registrazione/variaz./cessaz. TARSU Servizi Tributari Visure Camerali Visure Catastali WebGis,non è presente su facebook,è presente ma non risponde ai commenti,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,forse 1,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Tropea,VV,CAL,MEDIO,6725,,,,,,,,,,,,,,,,,,,,,,,,,,
102040,la connettività non supera i 20 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,non c'è nessun servizio di wi fi pubblico,fino a 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Servizi informativi meteo e dati ambientali",ho creato io una pagina facebook per il mio paese,"non è presente su  twitter, ho creato io un profilo per il mio paese",non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,non sono presenti,non sono presenti,sto cercando di entrare in contatto con l'amministrazione per avere uno spazio da dedicare alla promozione digitale ,"aumentare il wi fi pubblico, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Soriano Calabro,VV,CAL,PICCOLO,2775,,,,,,,,,,,,,,,,,,,,,,,,,,
102030,la connettività non supera i 10 Megabit,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,fino a 60 indicatori soddisfatti,"Servizi informativi per bandi e concorsi pubblici, Piattaforma per consultazioni online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,0,0,no,"aumentare la connettività, aumentare il wi fi pubblico, supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Ricadi,VV,CAL,PICCOLO,4954,,,,,,,,,,,,,,,,,,,,,,,,,,
102016,la connettività non supera i 10 Megabit,si,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Servizi informativi meteo e dati ambientali, Pagamento online tasse e tariffe comunali, URP online, Sportello Unico online",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,3,nessuno,no,"aumentare la connettività, supportare gli amministratori pubblici nella promozione del digitale, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, avviare coderdojo",Gerocarne,VV,CAL,PICCOLO,2383,,,,,,,,,,,,,,,,,,,,,,,,,,
102009,Non abbiamo problemi di connettività,no,"no, non hai mai organizzato nulla",non c'è nessun servizio di wi fi pubblico,,oltre 60 indicatori soddisfatti,"Piattaforma per consultazioni online, Servizi informativi per situazioni di emergenza",non è presente su facebook,non è presente su  twitter,non esiste una sezione open data,non c'è nel mio comune,Non c'è stata nessuna iniziativa,1,0,no,"supportare gli amministratori pubblici nella promozione del digitale, fare formazione sul crowdfunding, aumentare l'alfabetizzazione digitale per categorie a rischio esclusione, aumentare l'alfabetizzazione digitale alle aziende, aumentare formazione di tecnologie open source, aumentare le politiche a supporto delle startup, aumentare diffusione dei fablab e della digitalizzazione della manifattura",Drapia,VV,CAL,PICCOLO,2192,,,,,,,,,,,,,,,,,,,,,,,,,,
